番号,単語,品詞,発音記号,意味,短い意味,ニュアンス解説,コロケーション,例文_英語,例文_日本語,言い換え,メモ
1,enlarge,verb,/ɪnˈlɑːrdʒ/,拡大する、大きくする,to make something bigger,単にサイズを大きくするだけでなく、写真・建物・範囲・可能性などを広げる時にも使える。IELTS Task 1の地図問題で「施設が拡張された」と言いたい時に便利。,,The car park was enlarged to accommodate more visitors.,より多くの訪問者を受け入れるために、駐車場が拡張された。,expand; extend; increase,Task 1 mapで “was enlarged” はかなり使いやすい。
2,thoroughfare,noun,/ˈθʌrəfer/,大通り、主要道路,a main road or public passage,人や車が通り抜けるための主要な道路・通路を指す。日常会話ではやや硬いが、Readingや地図説明で出る可能性がある。,,The new thoroughfare improved access between the residential area and the city centre.,新しい大通りによって、住宅地と市内中心部の間のアクセスが改善された。,main road; route; passageway,Task 1 mapでは “main road” の方が安全。Reading用語として覚えるとよい。
3,flair,noun,/fler/,才能、センス、独特の魅力,a natural ability or stylish quality,特に芸術・デザイン・言語・料理などで「自然なセンスがある」という意味。abilityよりも「華やかさ・個性」が含まれる。,,She has a flair for explaining complex ideas in a simple way.,彼女には複雑な考えを簡単に説明する才能がある。,talent; gift; aptitude; style,“have a flair for ～” の形で覚える。
4,embrace,verb,/ɪmˈbreɪs/,受け入れる、積極的に取り入れる,to accept or adopt something willingly,単にacceptするより前向きで、変化・考え方・技術・文化などを積極的に受け入れるニュアンスがある。IELTS Task 2で使いやすい。,,Many companies have embraced digital technology to improve efficiency.,多くの企業は効率を向上させるためにデジタル技術を積極的に取り入れている。,accept; adopt; welcome,Task 2で “embrace new technology” が便利。
5,plod,verb,/plɑːd/,重い足取りで歩く、ゆっくり進む,to walk or work slowly and heavily,身体的にゆっくり歩く意味もあるが、仕事や勉強を「地道に、少し退屈に進める」という意味でも使える。ややネガティブな響き。,,"After a long day, he plodded home through the rain.",長い一日の後、彼は雨の中を重い足取りで家へ帰った。,trudge; walk slowly; move slowly,Readingでは出る可能性あり。Writingで無理に使う必要は低い。
6,bottom out,phrase,/ˌbɑːtəm ˈaʊt/,底を打つ、最低点に達して回復し始める,to reach the lowest point before improving,経済・価格・数値・状況が最悪の状態まで下がり、その後はそれ以上悪化しにくい時に使う。Task 1のグラフで「減少が止まった」と言いたい時に便利。,prices bottom out / the economy bottoms out / sales bottom out / bottom out at 10%,The unemployment rate bottomed out in 2020 before rising again.,失業率は2020年に底を打った後、再び上昇した。,reach the lowest point; hit the bottom; level off; stop falling,Task 1の折れ線グラフで使えるが、カジュアル寄りなのでフォーマル文では “reach its lowest point” も安全。
7,trough,noun,/trɔːf/,谷、最低点、くぼみ,the lowest point in a cycle or graph,グラフ・景気循環・波の一番低い部分を表す語。Task 1で数値が下がりきった点を説明する時に使えるが、やや専門的。,reach a trough / hit a trough / a deep trough / a trough in sales,The figure reached a trough of 15% in 2015.,その数値は2015年に15%という最低点に達した。,lowest point; low point; bottom; minimum,Task 1で “reached a trough of...” は使いやすい。発音はスペルから想像しにくいので注意。
8,superlative,adjective,/suːˈpɝːlətɪv/,最上級の、最高の,excellent or showing the highest degree,文法では “the biggest” のような最上級を指す。一般的には「非常に優れた」という意味もあるが、IELTS Writingでは文法用語として覚える方が実用的。,superlative form / superlative adjective / superlative degree / a superlative performance,Students often make mistakes when using superlative adjectives in essays.,学生はエッセイで最上級の形容詞を使う時によく間違える。,highest; best; excellent; outstanding,Writing本文で無理に使うより、文法学習用として重要。Speakingでは “excellent” の方が自然。
9,discipline,noun,/ˈdɪsəplɪn/,規律、自制、学問分野,"control, order, or a field of study",「規律」だけでなく、「自分をコントロールする力」や「学問分野」という意味もある。教育・仕事・子育て・勉強習慣の話題で使いやすい。,self-discipline / strict discipline / academic discipline / maintain discipline,Self-discipline is essential for students who study online.,オンラインで学ぶ学生にとって、自制心は不可欠である。,self-control; order; training; field of study,Task 2の教育・仕事・オンライン学習の話題でかなり使いやすい。
10,pensioner,noun,/ˈpenʃənər/,年金生活者、年金受給者,an old person who receives a pension,主にイギリス英語で、高齢で年金を受け取っている人を指す。Task 2で高齢化社会や福祉政策について書く時に使える。,elderly pensioners / retired pensioners / support pensioners / pensioner benefits,Many pensioners struggle to pay for housing and medical care.,多くの年金生活者は住宅費や医療費の支払いに苦労している。,retired person; senior citizen; elderly person; retiree,Task 2のaging societyやwelfareの話題で便利。アメリカ英語では “retiree” や “senior citizen” もよく使う。
